cve_id,labels
CVE-2014-1904,"['org.craftercms crafter-search-index-updater', 'net.oschina.durcframework durcframework-core', 'com.github.raychatter spring-restful-exception-handler', 'net.winroad wrdoclet', 'com.github.pabloo99.xmlsoccer xmlsoccer', 'org.springframework spring-webmvc', 'com.graphaware.neo4j graphaware-framework-server-community']"
CVE-2014-1972,['org.apache.tapestry tapestry-core']
CVE-2014-2059,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2061,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2062,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2063,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2064,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2065,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2066,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2067,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2068,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-2296,['org.jasig.cas cas-server-core']
CVE-2014-2857,['active_model_serializers']
CVE-2014-2858,['org.grails grails-core']
CVE-2014-3004,"['org.codehaus.castor castor-xml', 'org.codehaus.castor castor-core']"
CVE-2014-3120,"['katello-configure', 'org.elasticsearch elasticsearch']"
CVE-2014-3416,['org.jasig.portal uportal-war']
CVE-2014-3417,['org.jasig.portal uportal-war']
CVE-2014-3488,"['org.graylog2 graylog2-radio', 'io.selendroid selendroid-standalone', 'com.wavefront proxy', 'org.onosproject onos-netconf-provider-device', 'org.apache.flink flink-shaded-curator-recipes', 'io.netty netty', 'org.onosproject onlab-stc', 'io.fabric8.insight insight-rhq-metrics', 'org.apache.flink flink-runtime_2.11']"
CVE-2014-3490,"['org.jboss.resteasy resteasy-jaxb-provider', 'resteasy']"
CVE-2014-3503,['org.apache.syncope syncope-core']
CVE-2014-3526,['org.apache.wicket wicket-core']
CVE-2014-3527,['org.springframework.security spring-security-cas']
CVE-2014-3529,['org.apache.poi poi-ooxml']
CVE-2014-3530,['picketlink-federation']
CVE-2014-3574,['org.apache.poi poi-ooxml']
CVE-2014-3576,"['org.apache.activemq activemq-broker', 'org.apache.activemq activemq-all']"
CVE-2014-3577,"['openshift-origin-cartridge-cron', 'openshift-origin-msg-node-mcollective', 'org.apache.httpcomponents httpclient', 'openshift-origin-cartridge-mongodb', 'openshift-origin-cartridge-python', 'org.apache.httpcomponents httpclient-android', 'openshift-origin-cartridge-perl', 'commons-httpclient commons-httpclient', 'org.apache.cxf cxf-rt-transports-http', 'wss4j', 'openshift-origin-cartridge-jbosseap', 'rubygem-openshift-origin-frontend-haproxy-sni-proxy', 'openshift-origin-cartridge-php', 'openshift-origin-cartridge-ruby', 'rubygem-openshift-origin-msg-broker-mcollective', 'org.apache.httpcomponents httpasyncclient', 'rubygem-openshift-origin-admin-console', 'openshift-origin-cartridge-jenkins-client', 'libcgroup', 'openshift-origin-node-util', 'jenkins', 'openshift-origin-cartridge-jbossews', 'openshift-origin-broker', 'openshift-origin-cartridge-nodejs', 'imagemagick', 'openshift-origin-cartridge-diy', 'apache-cxf', 'jboss-seam2', 'rhc', 'activemq', 'openshift-origin-cartridge-haproxy', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'openshift-origin-cartridge-jenkins', 'jakarta-commons-httpclient', 'openshift-origin-cartridge-mysql', 'rubygem-openshift-origin-routing-daemon', 'openshift-origin-node-proxy', 'rubygem-openshift-origin-node']"
CVE-2014-3578,"['org.springframework spring-core', 'org.jglobus JGlobus-Core']"
CVE-2014-3579,['org.apache.activemq apollo-selector']
CVE-2014-3584,['org.apache.cxf cxf-rt-rs-security-xml']
