Unnamed: 0,cve_id,labels,num
56,CVE-2014-1904,"['org.craftercms crafter-search-index-updater', 'net.oschina.durcframework durcframework-core', 'com.github.raychatter spring-restful-exception-handler', 'net.winroad wrdoclet', 'com.github.pabloo99.xmlsoccer xmlsoccer', 'org.springframework spring-webmvc', 'com.graphaware.neo4j graphaware-framework-server-community']",7
65,CVE-2014-1972,['org.apache.tapestry tapestry-core'],1
68,CVE-2014-2059,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
70,CVE-2014-2061,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
71,CVE-2014-2062,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
72,CVE-2014-2063,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
73,CVE-2014-2064,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
74,CVE-2014-2065,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
75,CVE-2014-2066,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
76,CVE-2014-2067,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
77,CVE-2014-2068,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']",3
87,CVE-2014-2296,['org.jasig.cas cas-server-core'],1
135,CVE-2014-2857,['active_model_serializers'],1
136,CVE-2014-2858,['org.grails grails-core'],1
139,CVE-2014-3004,"['org.codehaus.castor castor-xml', 'org.codehaus.castor castor-core']",2
143,CVE-2014-3120,"['katello-configure', 'org.elasticsearch elasticsearch']",2
158,CVE-2014-3416,['org.jasig.portal uportal-war'],1
159,CVE-2014-3417,['org.jasig.portal uportal-war'],1
181,CVE-2014-3488,"['org.graylog2 graylog2-radio', 'io.selendroid selendroid-standalone', 'com.wavefront proxy', 'org.onosproject onos-netconf-provider-device', 'org.apache.flink flink-shaded-curator-recipes', 'io.netty netty', 'org.onosproject onlab-stc', 'io.fabric8.insight insight-rhq-metrics', 'org.apache.flink flink-runtime_2.11']",9
183,CVE-2014-3490,"['org.jboss.resteasy resteasy-jaxb-provider', 'resteasy']",2
192,CVE-2014-3503,['org.apache.syncope syncope-core'],1
207,CVE-2014-3526,['org.apache.wicket wicket-core'],1
208,CVE-2014-3527,['org.springframework.security spring-security-cas'],1
210,CVE-2014-3529,['org.apache.poi poi-ooxml'],1
211,CVE-2014-3530,['picketlink-federation'],1
228,CVE-2014-3558,"['jboss-as-server', 'jboss-as-ejb3', 'jboss-as-console', 'jboss-jaxr-api_1.0_spec', 'jboss-as-platform-mbean', 'jbossas-domain', 'jboss-as-web', 'org.glassfish.hk2.external bean-validator', 'jboss-as-modcluster', 'jboss-as-cli', 'jboss-as-management-client-content', 'com.ge.snowizard snowizard-client', 'jboss-as-osgi-service', 'org.glassfish.hk2 bean-validator', 'jboss-as-remoting', 'picketlink-bindings', 'jboss-as-jaxr', 'jboss-hal', 'jbossts', 'jboss-jaxws-api_2.2_spec', 'jboss-as-jacorb', 'jboss-as-pojo', 'jboss-as-jaxrs', 'jboss-annotations-api_1.1_spec', 'jboss-transaction-api_1.1_spec', 'glassfish-jsf-eap6', 'jboss-as-ee', 'jboss-as-configadmin', 'netty', 'xml-security', 'jboss-as-controller-client', 'jboss-as-osgi-configadmin', 'hibernate4-eap6', 'jboss-security-negotiation', 'jboss-as-jsf', 'org.hibernate hibernate-validator', 'jboss-connector-api_1.6_spec', 'jboss-as-jdr', 'jboss-as-security', 'glassfish-jaxb-eap6', 'com.hubspot BaragonAgentService', 'jboss-marshalling', 'jboss-as-mail', 'hibernate4-validator', 'hornetq', 'jboss-as-jmx', 'jboss-as-domain-http', 'jboss-as-deployment-repository', 'jbossas-bundles', 'jboss-as-cmp', 'jboss-remoting3', 'wss4j', 'picketlink-federation', 'jboss-interceptors-api_1.1_spec', 'jboss-as-network', 'com.github.rwirdemann mockwizard', 'jboss-as-connector', 'jbossweb', 'jboss-as-xts', 'jboss-ejb-client', 'jboss-as-weld', 'jboss-as-domain-management', 'jbossas-standalone', 'jboss-jsp-api_2.2_spec', 'jboss-as-system-jmx', 'jboss-as-client-all', 'jboss-as-jsr77', 'jboss-saaj-api_1.3_spec', 'jbossas-modules-eap', 'jbossas-product-eap', 'jboss-as-clustering', 'jbossas-core', 'jboss-modules', 'jboss-as-deployment-scanner', 'jboss-remote-naming', 'jboss-as-controller', 'com.ge.snowizard snowizard-application', 'jbossas-welcome-content-eap', 'com.ge.snowizard snowizard-api', 'jboss-as-threads', 'com.fasterxml.transistore transistore-server', 'jboss-as-core-security', 'jboss-as-embedded', 'jboss-jms-api_1.1_spec', 'ironjacamar-eap6', 'jboss-as-webservices', 'jboss-as-jpa', 'jboss-as-version', 'jboss-as-host-controller', 'resteasy', 'jbossas-appclient', 'com.frightanic open-data-smn', 'jbossas-javadocs', 'jboss-as-messaging', 'jboss-jaxrs-api_1.1_spec', 'jboss-as-naming', 'jboss-as-appclient', 'jboss-as-protocol', 'jboss-as-logging', 'jboss-as-picketlink', 'jboss-as-process-controller', 'jboss-as-osgi', 'jboss-as-transactions', 'jboss-as-sar', 'jboss-as-ee-deployment', 'jbossxb2']",106
240,CVE-2014-3574,['org.apache.poi poi-ooxml'],1
241,CVE-2014-3576,"['org.apache.activemq activemq-broker', 'org.apache.activemq activemq-all']",2
242,CVE-2014-3577,"['openshift-origin-cartridge-cron', 'openshift-origin-msg-node-mcollective', 'org.apache.httpcomponents httpclient', 'openshift-origin-cartridge-mongodb', 'openshift-origin-cartridge-python', 'org.apache.httpcomponents httpclient-android', 'openshift-origin-cartridge-perl', 'commons-httpclient commons-httpclient', 'org.apache.cxf cxf-rt-transports-http', 'wss4j', 'openshift-origin-cartridge-jbosseap', 'rubygem-openshift-origin-frontend-haproxy-sni-proxy', 'openshift-origin-cartridge-php', 'openshift-origin-cartridge-ruby', 'rubygem-openshift-origin-msg-broker-mcollective', 'org.apache.httpcomponents httpasyncclient', 'rubygem-openshift-origin-admin-console', 'openshift-origin-cartridge-jenkins-client', 'libcgroup', 'openshift-origin-node-util', 'jenkins', 'openshift-origin-cartridge-jbossews', 'openshift-origin-broker', 'openshift-origin-cartridge-nodejs', 'imagemagick', 'openshift-origin-cartridge-diy', 'apache-cxf', 'jboss-seam2', 'rhc', 'activemq', 'openshift-origin-cartridge-haproxy', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'openshift-origin-cartridge-jenkins', 'jakarta-commons-httpclient', 'openshift-origin-cartridge-mysql', 'rubygem-openshift-origin-routing-daemon', 'openshift-origin-node-proxy', 'rubygem-openshift-origin-node']",39
243,CVE-2014-3578,"['org.springframework spring-core', 'org.jglobus JGlobus-Core']",2
